name,ticker,exchange,industry,phone,address,recentForm,edgar,ir_lookup
"Lifeway Foods, Inc.","LWAY","Nasdaq","Dairy Products","847-967-1010","6431 W OAKTON, MORTON GROVE, IL, 60053","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000814586&type=&owner=include&count=10","https://www.google.com/search?q=Lifeway%20Foods%2C%20Inc.%20investor%20relations%20contact"
"ESS Tech, Inc.","GWH","NYSE|NYSE","Miscellaneous Electrical Machinery, Equipment & Supplies","(855) 423-9920","26440 SW PARKWAY AVE., WILSONVILLE, OR, 97070","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001819438&type=&owner=include&count=10","https://www.google.com/search?q=ESS%20Tech%2C%20Inc.%20investor%20relations%20contact"
"AgEagle Aerial Systems Inc.","UAVS","NYSE","Aircraft","(620) 325-6363","505 CENTURY PARKWAY, SUITE 250, ALLEN, TX, 75013","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000008504&type=&owner=include&count=10","https://www.google.com/search?q=AgEagle%20Aerial%20Systems%20Inc.%20investor%20relations%20contact"
"Digital Asset Acquisition Corp.","DAAQ","Nasdaq|Nasdaq|Nasdaq","State Commercial Banks","609-924-0759","174 NASSAU STREET, PRINCETON, NJ, 08542","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002052162&type=&owner=include&count=10","https://www.google.com/search?q=Digital%20Asset%20Acquisition%20Corp.%20investor%20relations%20contact"
"T3 Defense Inc.","DFNS","Nasdaq|Nasdaq","Services-Management Consulting Services","212-791-4663","575 FIFTH AVENUE, 14TH FLOOR, NEW YORK, NY, 10017","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001787518&type=&owner=include&count=10","https://www.google.com/search?q=T3%20Defense%20Inc.%20investor%20relations%20contact"
"SoFi Technologies, Inc.","SOFI","Nasdaq","Finance Services","(855) 456-7634","234 1ST STREET, SAN FRANCISCO, CA, 94105","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001818874&type=&owner=include&count=10","https://www.google.com/search?q=SoFi%20Technologies%2C%20Inc.%20investor%20relations%20contact"
"GCT Semiconductor Holding, Inc.","GCTS","NYSE|NYSE","Semiconductors & Related Devices","408-434-6040","2290 NORTH 1ST STREET, SAN JOSE, CA, 95131","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001851961&type=&owner=include&count=10","https://www.google.com/search?q=GCT%20Semiconductor%20Holding%2C%20Inc.%20investor%20relations%20contact"
"Ameris Bancorp","ABCB","NYSE","State Commercial Banks","4046396500","3490 PIEDMONT RD, ATLANTA, GA, 30305","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000351569&type=&owner=include&count=10","https://www.google.com/search?q=Ameris%20Bancorp%20investor%20relations%20contact"
"BATTALION OIL CORP","BATL","NYSE","Crude Petroleum & Natural Gas","832-538-0300","820 GESSNER ROAD, HOUSTON, TX, 77024","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001282648&type=&owner=include&count=10","https://www.google.com/search?q=BATTALION%20OIL%20CORP%20investor%20relations%20contact"
"EchoStar CORP","SATS","Nasdaq","Communications Services, NEC","303-723-1000","9601 SOUTH MERIDIAN BOULEVARD, ENGLEWOOD, CO, 80112","8-K","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001415404&type=&owner=include&count=10","https://www.google.com/search?q=EchoStar%20CORP%20investor%20relations%20contact"
